Section,Location Name,Full Warehouse Name,Barcode
Section 1 - GSS,Section 1 - D9,Section 1 - D9 - GSS,WH-RM-00058
Section 1 - GSS,Section 1 - D10,Section 1 - D10 - GSS,WH-RM-00059
Section 1 - GSS,Section 1 - D11,Section 1 - D11 - GSS,WH-RM-00060
Section 1 - GSS,Section 1 - D12,Section 1 - D12 - GSS,WH-RM-00061
Section 1 - GSS,Section 1 - D13,Section 1 - D13 - GSS,WH-RM-00062
Section 1 - GSS,Section 1 - D14,Section 1 - D14 - GSS,WH-RM-00063
Section 1 - GSS,Section 1 - D15,Section 1 - D15 - GSS,WH-RM-00064
Section 1 - GSS,Section 1 - D16,Section 1 - D16 - GSS,WH-RM-00065
Section 1 - GSS,Section 1 - E1,Section 1 - E1 - GSS,WH-RM-00066
Section 1 - GSS,Section 1 - E2,Section 1 - E2 - GSS,WH-RM-00067
Section 1 - GSS,Section 1 - E3,Section 1 - E3 - GSS,WH-RM-00068
Section 1 - GSS,Section 1 - E4,Section 1 - E4 - GSS,WH-RM-00069
Section 1 - GSS,Section 1 - E5,Section 1 - E5 - GSS,WH-RM-00070
Section 1 - GSS,Section 1 - E6,Section 1 - E6 - GSS,WH-RM-00071
Section 1 - GSS,Section 1 - E7,Section 1 - E7 - GSS,WH-RM-00072
Section 1 - GSS,Section 1 - E8,Section 1 - E8 - GSS,WH-RM-00073
Section 1 - GSS,Section 1 - E9,Section 1 - E9 - GSS,WH-RM-00074
Section 1 - GSS,Section 1 - E10,Section 1 - E10 - GSS,WH-RM-00075
Section 1 - GSS,Section 1 - E11,Section 1 - E11 - GSS,WH-RM-00076
Section 1 - GSS,Section 1 - E12,Section 1 - E12 - GSS,WH-RM-00077
Section 1 - GSS,Section 1 - E13,Section 1 - E13 - GSS,WH-RM-00078
Section 1 - GSS,Section 1 - E14,Section 1 - E14 - GSS,WH-RM-00079
Section 1 - GSS,Section 1 - E15,Section 1 - E15 - GSS,WH-RM-00080
Section 1 - GSS,Section 1 - E16,Section 1 - E16 - GSS,WH-RM-00081
Section 1 - GSS,Section 1 - F1,Section 1 - F1 - GSS,WH-RM-00082
Section 1 - GSS,Section 1 - F2,Section 1 - F2 - GSS,WH-RM-00083
Section 1 - GSS,Section 1 - F3,Section 1 - F3 - GSS,WH-RM-00084
Section 1 - GSS,Section 1 - F4,Section 1 - F4 - GSS,WH-RM-00085
Section 1 - GSS,Section 1 - F5,Section 1 - F5 - GSS,WH-RM-00086
Section 1 - GSS,Section 1 - F6,Section 1 - F6 - GSS,WH-RM-00087
Section 1 - GSS,Section 1 - F7,Section 1 - F7 - GSS,WH-RM-00088
Section 1 - GSS,Section 1 - F8,Section 1 - F8 - GSS,WH-RM-00089
Section 1 - GSS,Section 1 - F9,Section 1 - F9 - GSS,WH-RM-00090
Section 1 - GSS,Section 1 - F10,Section 1 - F10 - GSS,WH-RM-00091
Section 1 - GSS,Section 1 - F11,Section 1 - F11 - GSS,WH-RM-00092
Section 1 - GSS,Section 1 - F12,Section 1 - F12 - GSS,WH-RM-00093
Section 1 - GSS,Section 1 - F13,Section 1 - F13 - GSS,WH-RM-00094
Section 1 - GSS,Section 1 - F14,Section 1 - F14 - GSS,WH-RM-00095
Section 1 - GSS,Section 1 - F15,Section 1 - F15 - GSS,WH-RM-00096
Section 1 - GSS,Section 1 - F16,Section 1 - F16 - GSS,WH-RM-00097
Section 2 - GSS,Section 2 - Rack 1 - A1,Section 2 - Rack 1 - A1 - GSS,WH-RM-00099
Section 2 - GSS,Section 2 - Rack 1 - A2,Section 2 - Rack 1 - A2 - GSS,WH-RM-00100
Section 2 - GSS,Section 2 - Rack 1 - A3,Section 2 - Rack 1 - A3 - GSS,WH-RM-00101
Section 2 - GSS,Section 2 - Rack 1 - B1,Section 2 - Rack 1 - B1 - GSS,WH-RM-00102
