name,warehouse_name,parent_warehouse,is_group,company,disabled
"Section 1 - D16 - GSS","Section 1 - D16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E1 - GSS","Section 1 - E1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E2 - GSS","Section 1 - E2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E3 - GSS","Section 1 - E3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E4 - GSS","Section 1 - E4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E5 - GSS","Section 1 - E5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E6 - GSS","Section 1 - E6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E7 - GSS","Section 1 - E7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E8 - GSS","Section 1 - E8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E9 - GSS","Section 1 - E9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E10 - GSS","Section 1 - E10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E11 - GSS","Section 1 - E11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E12 - GSS","Section 1 - E12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E13 - GSS","Section 1 - E13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E14 - GSS","Section 1 - E14","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E15 - GSS","Section 1 - E15","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - E16 - GSS","Section 1 - E16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F1 - GSS","Section 1 - F1","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F2 - GSS","Section 1 - F2","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F3 - GSS","Section 1 - F3","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F4 - GSS","Section 1 - F4","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F5 - GSS","Section 1 - F5","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F6 - GSS","Section 1 - F6","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F7 - GSS","Section 1 - F7","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F8 - GSS","Section 1 - F8","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F9 - GSS","Section 1 - F9","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F10 - GSS","Section 1 - F10","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F11 - GSS","Section 1 - F11","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F12 - GSS","Section 1 - F12","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F13 - GSS","Section 1 - F13","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F14 - GSS","Section 1 - F14","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F15 - GSS","Section 1 - F15","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 1 - F16 - GSS","Section 1 - F16","Section 1 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - A1 - GSS","Section 2 - Rack 1 - A1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - A2 - GSS","Section 2 - Rack 1 - A2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - A3 - GSS","Section 2 - Rack 1 - A3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - B1 - GSS","Section 2 - Rack 1 - B1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - B2 - GSS","Section 2 - Rack 1 - B2","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - B3 - GSS","Section 2 - Rack 1 - B3","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - C1 - GSS","Section 2 - Rack 1 - C1","Section 2 - GSS",0,"Global Spectrum SARL",0
"Section 2 - Rack 1 - C2 - GSS","Section 2 - Rack 1 - C2","Section 2 - GSS",0,"Global Spectrum SARL",0
